A|General Works
HN|Social history and conditions, Social problems, Social reform
HQ|Family, Marriage, Women
HS|Societies|secret, benevolent, etc.
HT|Communities, Classes, Races
HV|Social Pathology, Social and public welfare, Criminology
HX|Socialism, Communism, Anarchism
J|Political Science
JA|Political Science (general)
JC|Political theory
JF|Political institutions and public administration
JK|Political institutions and public administration - United States
JL|Political institutions and public administration - America outside U.S.
JN|Political Institutions and public administration - Europe
JQ|Political institutions and public administration - Asia, Africa, Australia, Oceania
JS|Local government. Municipal government.
JV|Colonies and colonization. Emigration and immigration. International migration
JX|International Law (See also KZ for International Law)
JZ|International relations
K|Law
KBM|Jewish law
KBR|History of canon law
KD|Law of the United Kingdom and Ireland
KE|Canada
KF|United States
KG|Latin America, Mexico and Central America, West Indies, Caribbean area
KH|South America
KJ|Europe
KL|Asia and Eurasia, Africa, Pacific Area, and Antarctica
KN|South Asia, Southeast Asia, and East Asia
KNX|Japan
KP|South Asia, Southeast Asia, and East Asia
KU|Pacific Area
KZ|Law of nations
L|Education
LA|History of Education
LB|Theory and practice of education
LC|Special aspects of education
LD|Individual institutions - United States
LE|Individual institutions - America outside of U.S.
LF|Individual institutions - Europe
LG|Individual institutions - Asia, Africa, Oceania
LH|College and school magazines and papers
LJ|Student fraternities and societies, United States
LT|Textbooks
M|Music
ML|Literature of Music
MT|Musical instruction and study
N|Fine Arts
N|Visual Arts
NA|Architexture
NB|Sculpture
NC|Drawing, Design, Illustration
ND|Painting
NE|Print Media
NK|Decorative arts
NX|Arts in general
P|Language and Literature
PA|Greek and Latin language and literature
PB|Modern languages. Celtic languages
PC|Romantic languages
PD|Germanic, Scandinavian laguages.
PE|English language
PF|West Germanic Languages
PG|Slavic, Baltic, Albanian languages.
PH|Uralic, Basque languages
PJ|Oriental languages and literatures
PK|Indo-Iranian languages and literatures
PL|Languages and literatures of Eastern Asia, Africa, Oceania
PM|Hyperborean, Indian, and artificial languages
PN|Literature - General
PQ|French, Italian, Spanish, and Portuguese literature
PR|Engish literature
PS|American literature
PT|German literature
PZ|Other literature
Q|Science (General)
QA|Mathematics
QB|Astronomy
QC|Physics
QD|Chemistry
QE|Geology
QH|Natural History - Biology
QK|Botany
QL|Zoology
QM|Human anatomy
QP|Physiology
QR|Microbiology
R|Medicine
RA|Public aspects of medicine
RB|Pathology
RC|Internal Medicine
RD|Surgery
RE|Ophthalmology
RF|Otorhinolaryngology (Ear, Nose, Throat)
RG|Gynecology and obstetrics
RJ|Pediatrics
RK|Dentistry
RL|Dermatology
RM|Therapeutics. Pharmacology
RS|Pharmacy and materia medica
RT|Nursing
RV|Botanic, Thomsonian, and Eclectic Medicine
RX|Homeopathy
RZ|Other systems of medicine
S|Agriculture
SB|Plant culture
SD|Forestry
SF|Animal culture
SH|Aquaculture. Fisheries, Angling
SK|Hunting sports
T|Technology
TA|General engineering
TC|Hydraulic and ocean engineering.
TD|Environmental technology, Sanitary engineering
TE|Highway engineering (roads and pavements)
TF|Railroad engineering and operation
TG|Bridge engineering
TH|Building construction
TJ|Mechanical engineering and machinery
TK|Electrical engineering, Electronics, Nuclear engineering
TL|Motor vehicles, Aeronautics, Astronautics
TN|Mining engineering, Metallurgy
TP|Chemical technology
TR|Photography
TS|Manufactures
TT|Handicrafts and Arts & Crafts
TX|Home economics
U|Military Science
UA|Organization, distrubution, military situation
UB|Military administration
UC|Maintenance and transporation
UD|Infantry
UE|Cavalry, Armor
UF|Artillery
UG|Military engineering
UH|Other military services
V|Naval Science
VA|Navies|Organization, distribution, naval situation
VB|Naval administration
VC|Naval maintenance
VD|Naval seaman
VE|Marines
VF|Naval ordinance
VG|Other naval services
VK|Navigation, Merchant marine
VM|Naval architecture and engineering, Shipbuilding
Z|Books (general) writing, Book industries, Libraries, and Bibliography
ZA|Information resources (General)
